(0;0),0.0,4.321396660806538,11.118131067479164,17.301909556823286,22.905435776220315,27.983316922152124,32.58250203293471,36.74767174180865,40.540201226874814,44.32740595834663
(0;1),0.0,-4.4691603840761,8.67250061497573,14.856605991955524,20.478218172351625,25.56446285136173,30.17003805553121,34.34092209212968,38.18079384530087,42.368294352196486
(0;2),0.0,-5.005686646075884,6.688644809324716,14.714171416218324,21.112730985575425,26.860854498725818,32.04627803163801,36.735868287820736,40.97709594286923,44.81278888966157
(0;3),0.0,1.898504222317757,9.238464145064167,17.25177099627892,23.652880778076035,29.387887194246375,34.573291579343156,39.26287520572992,43.50405506510827,47.33970346864134
(0;4),0.0,-1.8790705267843237,10.395152612958094,17.40510636461988,23.745022667754146,29.478665985664513,34.66406620058559,39.353649087947616,43.59482425437327,47.43046772235809
(0;5),0.0,5.134016673812013,12.857721914508977,19.86761900430596,26.207342156780282,31.940977930417443,37.1263777853809,41.81596059701705,46.05713536189351,49.89277831739632
(1;0),0.0,2.0747257083882062,8.672500615567547,14.85660599195552,20.478218172351625,25.56446285136173,30.17003805553121,34.34092209212968,38.18079384530087,41.941688615711016
(1;1),0.0,-4.714115997093517,6.6170231264595625,12.803967931443143,18.596999788488624,23.759261964357606,28.42226490817404,32.644515630916516,36.94732058042443,40.8606565460769
(1;2),0.0,-5.233315709561681,4.8765386739742125,12.688672015861453,19.074367513195213,24.936723656515245,30.12222810724911,34.81187079107968,39.05353575383045,42.889581684194006
(1;3),0.0,-0.15582430766323685,6.946705187276264,14.363838140355448,21.260189248669466,27.006959389773797,32.19237919855485,36.88196878349504,41.12319205491757,44.958880520436104
(1;4),0.0,-2.2002153917989804,9.25083379792298,16.261257623926166,22.602965289485326,28.336644638133702,33.522046690134125,38.2116302402551,42.452809698084074,46.288457589135156
(1;5),0.0,3.9444570029012413,11.460635410280746,18.470589161512223,24.810505464646486,30.544148782556857,35.72954899747793,40.41913188483996,44.66030705126561,48.495950519250435
(2;0),0.0,1.1307617099045295,7.456631304652181,13.643902990326767,19.264817856494503,24.360289968243958,29.03545438427296,34.134926910413,38.692975108275746,42.86709084967208
(2;1),0.0,-5.028777771445235,5.426305647350737,11.633329996629943,17.276298789610202,22.4613223950537,27.758382434813882,32.43657919440305,36.715403209836005,41.042539722540226
(2;2),0.0,-5.508136533095607,3.2260423340159665,12.171082226958095,18.78888070053786,24.54865084040904,29.734734170348705,34.424853925120324,38.67090273341355,42.510169999459904
(2;3),0.0,-0.7961347916335103,5.89203890497246,14.545618104941687,21.04644409417514,26.783078989780073,31.96856896286957,36.658211574282184,40.89987615783105,44.73592162548575
(2;4),0.0,-1.6555437042939203,8.872317848513312,15.883473971873217,22.24177731489851,27.975712412607248,33.161127060779016,37.8507166439914,42.09193991541339,45.92762838093193
(2;5),0.0,2.958656805837996,10.19057615173727,17.201056634509058,23.542957450728153,29.276644343649743,34.46204675560779,39.15163038145462,43.392810240832816,47.228458644365894
(3;0),0.0,0.3792942058682499,6.360434852901814,12.570118550218996,18.197172928863363,24.707724857728262,30.350755955369532,35.42995165689233,40.0235387693849,44.18299310594527
(3;1),0.0,-4.316725614578753,5.181961891996218,11.567560737795773,17.279672750333955,23.27612665096571,29.130384292331193,34.169589953757885,38.731281442408246,42.90424390543592
(3;2),0.0,-4.744548962789499,2.7525044583558858,10.61136435214709,18.50143596597144,24.344650605146228,29.535699532463962,34.23010203969094,38.51941682339325,42.387674302742084
(3;3),0.0,-1.2940243887994376,4.791476275473456,12.595073134618172,19.857587985312204,25.6055070068661,30.791587932502654,35.48170768644256,39.72775649473554,43.567023760781886
(3;4),0.0,-2.326491291975181,6.65548984132243,13.670629284985411,20.179616239546956,25.915060304429563,31.10054893285841,35.79019161251504,40.031856575264634,43.86790250562819
(3;5),0.0,2.0184538297819397,8.830470143711203,15.841963430954209,22.202084542232086,27.936053488788687,33.12146988795285,37.811060141867856,42.05228779691565,45.88798074370799
(4;0),0.0,-0.33783939812769914,5.1549593886326965,13.00842474167463,19.770885916236114,25.98440623109707,31.607760914130754,36.69188831179851,41.28948520179998,45.44774663871489
(4;1),0.0,-4.838044445675759,3.052131406653979,11.006885374661328,17.58230783163353,23.768136824054476,29.40966711675628,34.489353904398236,39.08334746078608,43.24271697515556
(4;2),0.0,-5.297671938448873,0.9906258711249545,8.917362963999313,15.738263151381663,22.400404500732858,27.63613824771935,32.36907721564285,37.0821158206152,41.2116489316106
